id,name,lat,lon,is_substation,is_transformer_node,voltage
2269888233,"",50.938894100000006,6.5272684000000005,false,true,""
8617369124,"",50.699097800000004,6.0488038,false,true,""
8274703294,"",50.720659500000004,6.0471613,false,true,""
10703922108,"",50.7641708,6.1657257,false,true,""
1359866126,"",50.7673714,6.1609688,true,false,""
2269888230,"",50.938901400000006,6.527412,false,true,""
1967491953,"",50.792903800000005,6.1208277,true,false,""
5875529360,"",50.6257887,6.0375342000000005,false,true,""
1610725556,"",50.759745,6.0902636,true,false,""
2294047444,"",50.7721266,6.0900027,true,false,""
1662112258,"",50.769223600000004,6.0646021,true,false,""
2269888184,"",50.88103,6.488794,false,true,"380000;unknown"
1737532387,"",50.729082600000005,6.175144,true,false,""
1302069693,"",50.783498200000004,6.0598757,true,false,""
5769243206,"",50.6376007,6.0217783,false,true,""
8447114599,"",50.976991000000005,6.278796000000001,false,true,""
9944993313,"",50.911610700000004,6.1686958,false,true,""
10710776397,"",50.7621162,6.4691431,false,true,""
323076640,"",50.717921600000004,6.4399804000000005,true,false,""
5508035837,"",50.6165139,6.0527626,false,true,"15000;400"
9945026621,"",50.928385500000005,6.118869500000001,false,true,""
1287459739,"Lütticher Str. (578)",50.730940600000004,6.0407995,true,false,""
7075747259,"",50.85036040000001,6.3676567,true,false,""
2369698920,"",50.756506400000006,6.1701727,true,false,""
1352910898,"",50.7691249,6.1514492,true,false,""
10705300707,"",50.789493,6.2258031,false,true,""
1725973869,"",50.727645800000005,6.141735300000001,true,false,""
2297383907,"",50.702713900000006,6.177682600000001,true,false,""
1691680081,"",50.757406100000004,6.0734054,true,false,""
2468144842,"",50.74167550000001,6.1704236,true,false,""
8199030308,"",50.661763,6.0595565,true,false,""
1358066875,"",50.7886984,6.2101876,true,false,""
1358066872,"",50.7757395,6.1099703000000005,true,false,""
9956393682,"",50.879999600000005,6.1891544000000005,false,true,""
1256673501,"",50.9300578,6.3825237,true,false,""
2468144834,"",50.735044200000004,6.1854668,true,false,""
3118132932,"",50.837130300000005,6.3226284,false,true,""
11265322332,"",50.7155265,6.578583,false,true,""
11697373660,"",50.871922600000005,6.453491400000001,false,true,""
1992217461,"",50.7935759,6.125628000000001,true,false,""
2269888227,"",50.9388908,6.5270574,false,true,""
2046233145,"",50.799543,6.111004,true,false,""
10240168802,"",50.837238500000005,6.319842400000001,false,true,""
10705256981,"",50.755088400000005,6.241483400000001,false,true,""
393330903,"1107 Heinrich-Dauer-Straße",50.811831000000005,6.500357500000001,true,false,""
323082947,"",50.7398279,6.4812693,true,false,""
1475061827,"",50.7738409,6.071562200000001,true,false,""
1259575723,"",50.6568528,6.0147696,false,true,""
1736716319,"",50.767153300000004,6.1134385,false,true,""
11930160645,"",50.7909597,6.096653900000001,true,false,""
1929709844,"",50.787091100000005,6.0982267000000006,true,false,""
387849752,"",50.981000900000005,6.517899000000001,true,false,""
763426816,"",50.788429400000005,6.325184800000001,true,false,""
1726754329,"",50.727718800000005,6.178245700000001,true,false,""
1420362597,"",50.725038700000006,6.0025348,true,false,"15000"
10710758589,"",50.8426782,6.4559699,false,true,""
11608125497,"",50.9758657,6.122974,false,true,""
10240168803,"",50.837234200000005,6.320208500000001,false,true,""
1352910912,"",50.7932848,6.1660795,true,false,""
1324152050,"",50.7684622,6.101948,true,false,""
7640486904,"",50.746924500000006,6.2444196000000005,false,true,""
11329340375,"",50.6974881,6.0407647,true,false,"15000"
11358311988,"",50.7064212,6.0820810000000005,true,false,"230"
1357155739,"",50.7680901,6.10568,true,false,""
2297384125,"",50.7211152,6.186690700000001,true,false,""
10710776368,"",50.813462400000006,6.4402018000000005,false,true,""
1956497798,"",50.79209710000001,6.0913664,true,false,""
333738345,"Station Feuerwehrhaus",50.74923080000001,6.4205059,true,false,""
1592412150,"",50.9064448,6.3581205,true,false,""
1736659533,"",50.765871100000005,6.1183733,true,false,""
922297233,"",50.7707878,6.3037105,true,false,""
9956393646,"",50.878979400000006,6.088388200000001,false,true,""
5592207717,"",50.628801900000006,6.0394889,false,true,""
9888581069,"",50.836664600000006,6.0802901,true,false,""
1297045784,"",50.840766800000004,6.058905200000001,true,false,""
8447141841,"",50.9878073,6.268114700000001,false,true,""
1289433253,"",50.7499872,6.1344519,true,false,""
2036170017,"",50.7686701,6.07599,true,false,""
2349974307,"",50.750377,6.1434667,true,false,""
2950021446,"",50.6851056,6.3728106,true,false,""
4678307394,"",50.9862855,6.0505082,false,true,""
13067161217,"",50.9443483,6.3656101000000005,true,false,""
2348398382,"",50.768543,6.1340604,true,false,""
13299015847,"",50.911917700000004,6.4075118,false,true,""
1576203560,"",50.762418200000006,6.0678844000000005,true,false,""
2342488707,"",50.777264900000006,6.1715211000000005,true,false,""
885960609,"",50.8171388,6.264225400000001,true,false,""
2416862814,"",50.7550006,6.1678891,true,false,""
5617546691,"",50.628474100000005,6.0631069,false,true,"15000;400;230"
2392919060,"",50.697062700000004,6.151425400000001,true,false,""
11697373657,"",50.871523200000006,6.4531749000000005,false,true,""
967002010,"",50.8159452,6.2666719,true,false,""
1375138067,"",50.775505200000005,6.0788298,true,false,""
10240168800,"",50.837224600000006,6.321643600000001,false,true,""
