id,node_ids,is_power_line,is_power_transformer_way,length_km,voltage
1151325236,"323105409;10710776350",true,false,0.030283633289436878,"110000"
1005690316,"6088857542;9278923851",true,false,0.02023915875292646,"70000"
115432986,"1304247315;9956393651;9956393648;270675052",true,false,0.08795767989258883,"110000"
162275042,"1741882296;1741882300;1741882304;1741882307",true,false,0.028444997022968883,"150000"
232353984,"1304247397;2407091322;2407091325;2407091329;292431382",true,false,0.7710582756243562,"110000"
36272198,"200006669;200018470;200021694;202769754;202772727;202774719;202776291;202778674;202780376;2177363609;202783534;2177373116;202868933;202850932;202853980;202855898;202858288;1093469409;202863367;669270450;202871499;351126893;484179892;484179893;484179894;484179895;484179896;484179897;484179898;484179899;484179900;484179901;484179902;484179904;484179905;484179906;484179907;484179908;484179909;484179910;484179911;484179912;484179915;484179916;484179917;484179918;484179919;484179920;484179921;484179922;484179923;484179925;484179926;484179927;484179929;484179931;484179932;484179934;484179935;484179936;484179938;484179939;484179941;484179943;484179944;484179946;484179947;484179948;484179949;484179950;484179952;484179953;484179954;484179955;484179956;484179957;484179958;484179959;484179960;484179961;484179963;484180511;484179964;484179965;484179966;484179967;423214247;423137599;423141479;423112345;423211749;423214470;423214577;423215085;423215518;423215843;739453229;1305288983;1305288955;1305289011;1305288971;1305288998;739453205;1305288987;1305289025;739453217;1305289001;1305289029;295143202;266624940;266624939;257879695;257879692;257879676;257879673;257879671;266508912;266508910;266508899;267225591;267225592;267225593;267225595;267225610;267225701;267225702;267225703;267225706;267225707;267225710;267225711;267225714;267225717;267226410;267226411;267226412;267299866;267299864;267299861;266621241;266621239;266621237;266621236;266621234;1303562796;266621671;266621670;266621663;266621665;266621667;267231843;267231844;267231845;267231864;267231867;267231871;267231874;1303562631;2240680196",true,false,46.27683572404149,"110000"
23845017,"267993317;1026486349;1026486405;1026486367;267993318;1026486429;1026486366;317334507;1026486382;1026486348;1026486404;1026486422",true,false,2.9679141420178996,"110000"
1119544033,"10239765684;10239765622;10239765685;10239765686;10239765687;10239765688;10239765755;10239765689",true,false,0.17681331835756128,"380000"
1119597552,"10240168733;7857146033;10240168734;7857146036",true,false,0.048057363446897594,"110000"
38037373,"1314649263;446945022;446945020;446945021;1314649256",true,false,0.8322149567631056,"110000"
1150692048,"8511349394;10704274511;10704274507",true,false,0.02598826743624319,"110000"
140568797,"262795526;262795528;262795531",true,false,0.630744397773628,"110000"
1088085424,"277101665;9969345675;10240168803",true,false,0.2335345777138022,"110000"
1150649430,"10703906167;10703906173;10703906172;10703906171;10703906170;10703906169;10703906183;10703906184;10703906168",true,false,0.11033698395222333,"110000"
207810073,"345611692;2180587041;10704274512;10704274513",true,false,0.06671424129352664,"110000"
1026219342,"9461602969;9461602986;9461602981;9461602989;9461602974;9461602995;9461602984;9461602991;9461602973;9461602977",true,false,0.15844119132251788,"150000"
115569316,"1305289023;1305289000",true,false,0.020261973648026732,"110000"
1150803269,"1207830299;10705257001;1303562636",true,false,0.013749661055752309,"110000"
92908926,"1376135040;9108460111;1376135056;1376135082;1376135093;1376135101;1376135105;1376135107;1376135108;1376135109;1376135111;1376135112;1376135113;1376135114;1376135115;1376135116;1376135117;1376135118;1376135119;1376135121;1376135122;1376135123;1376135124;1376135125;1376135126;1376135127;1376135129;1376135132;1376135134;1376135136;1376135139;1376135140;1376135144;1376135143;1376135142;1376135137;1077197818",true,false,14.940221848797757,"150000"
115337357,"1303562715;8071414182;1303562673;7671444633;8071414183;8071414204;1303562658",true,false,0.07480805947423265,"110000"
1119597558,"10240168775;10240168776;10240168778;10240168777;277106542",true,false,0.04677395244791567,"380000"
229258775,"2378798209;2269888184",true,false,0.037699961636336994,"380000"
1151327605,"1045022130;10710758590;10710758591;10710758592;10710758593;10710758594",true,false,0.1299828824478049,"110000"
123384134,"9278923855;6088857564;1376135025;1376135033;1376135035;1376135038;1376135042;1376135085;1376135102;1376135110;1376135120;1376135128;1376135133",true,false,2.90963353813978,"70000"
115432978,"4678307391;1304247443;1304247439",true,false,0.1642203635849217,"110000"
1085332531,"9945026627;9945026634;9945026628;9945026629;9945026630;9945026631;12046047584;12046047583;12046047582;12046047581;12046047580",true,false,0.15487712080677246,"380000"
870598503,"10239765805;8109833684;8109833683;8109833682;2269888183",true,false,0.1382708139975928,"110000"
